"Tanggal","Durasi (Menit)","Kecamatan","Penyebab Kebakaran"
"Wednesday, January 03, 2018","80","Bojongloa Kidul","Korsleting Listrik A"
"Thursday, January 04, 2018","65","Cibeunying Kaler","Korsleting Listrik"
"Friday, January 05, 2018","25"," -","Korsleting Listrik A"
"Friday, January 05, 2018","55","Andir","Kebocoran Gas"
"Friday, January 05, 2018","18","Panyileukan","Korsleting Listrik"
"Friday, January 05, 2018","25","Rancasari","Dalam Penyelidikan"
"Saturday, January 06, 2018","37","Bandung Kidul","Korsleting Listrik A"
"Saturday, January 06, 2018","75","Panyileukan","Dari Tungku Pemb dan Korsleting Listrik"
"Monday, January 15, 2018","20","Babakan Ciparay","-"
"Monday, January 15, 2018","40","Cicendo","Bakar Celana Jean"
"Tuesday, January 16, 2018","43","Cibeunying Kaler","Korsleting Listrik"
"Wednesday, January 17, 2018","42","Batununggal","Korsleting Listrik Dalam Penyelidikan"
"Thursday, January 18, 2018","40","Sukasari","-"
"Saturday, January 20, 2018","57","Cicendo","Dalam Penyelidikan"
"Wednesday, January 24, 2018","91","Batununggal","Korsleting Listrik"
"Friday, January 26, 2018","91","Cibiru","Korsleting Listrik"
"Friday, January 26, 2018","50","Bandung Kidul","Korsleting Listrik"
"Sunday, January 28, 2018","26","Bandung Wetan","Korsleting Listrik"
"Wednesday, January 31, 2018","35","Cicendo","Kebocoran Gas"
"Thursday, February 01, 2018","37","Coblong","Kebocoran Tabung"
"Thursday, February 01, 2018","65","Rancasari","Korsleting Listrik"
"Saturday, February 03, 2018","85","Bandung Kulon","Dalam Penyelidikan"
"Monday, February 05, 2018","60","Cibeunying Kidul","Korsleting Listrik"
"Tuesday, February 06, 2018","105","Bandung Kulon","Pengoplosan Zat Ki"
"Friday, February 09, 2018","45","Antapani","Dalam Penyelidikan"
"Tuesday, February 13, 2018","42","Cibiru","Korsleting Listrik A"
"Tuesday, February 13, 2018","15","Sumur Bandung","Korsleting Listrik"
"Tuesday, February 13, 2018","45","Kiaracondong","Kebocoran Tabung"
"Tuesday, February 13, 2018","65","Bandung Kulon","Bakaran Sampah"
"Thursday, February 15, 2018","170","Kiaracondong","Kebocoran Tabung"
"Thursday, February 15, 2018","27","Buahbatu","Korsleting Listrik A"
"Friday, February 16, 2018","50","Coblong","Dalam Penyelidikan"
"Sunday, February 18, 2018","110","Batununggal","Bakaran Sampah"
"Wednesday, February 21, 2018","295","Sumur Bandung","Dalam Penyelidikan"
"Wednesday, February 21, 2018","65"," Cidadap","Bakaran Sampah"
"Thursday, February 22, 2018","32","Cibeunying Kaler","Korsleting Listrik A"
"Saturday, February 24, 2018","35","Coblong","Ledakan Tabung G"
"Wednesday, February 28, 2018","153","Astanaanyar","Bakaran Obat Nyamuk"
"Thursday, March 01, 2018","70","Coblong","Korsleting Listrik"
"Friday, March 02, 2018","15","Sumur Bandung","Korsleting Listrik"
"Saturday, March 03, 2018","75","Coblong","Kebocoran Tabung"
"Saturday, March 03, 2018","10","Batununggal","Korsleting Listrik"
"Sunday, March 04, 2018","30","Bandung Kulon","Korsleting Listrik"
"Wednesday, March 07, 2018","30","Kiaracondong","Korsleting Listrik"
"Tuesday, March 20, 2018","75","Cicendo","Dalam Penyelidikan"
"Thursday, March 22, 2018","23","Sumur Bandung","Dalam Penyelidikan"
"Saturday, March 31, 2018","-","Coblong","Dalam Penyelidikan"
"Sunday, April 01, 2018","53","Cibeunying Kidul","Puntung Rokok Menyambar Kursi"
"Monday, April 02, 2018","115","Astanaanyar","Dalam Penyelidikan"
"Tuesday, April 03, 2018","65","Gedebage","Dalam Penyelidikan"
"Sunday, April 08, 2018","45","Cidadap","Kebocoran Tabung"
"Wednesday, April 11, 2018","72","Mandalajati","Korsleting Listrik"
"Wednesday, April 11, 2018","80","Coblong","Kebocoran Tabung"
"Thursday, April 12, 2018","47","Regol","Korsleting Listrik"
"Sunday, April 15, 2018","45","Regol","Dalam Penyelidikan"
"Thursday, April 19, 2018","145","Lengkong","Korsleting Listrik"
"Saturday, April 21, 2018","28","Coblong","Korsleting Listrik"
"Saturday, April 21, 2018","25","Cibeunying Kaler","Tumpahan Bensin"
"Sunday, April 29, 2018","73","Cibeunying Kidul","Bakaran Sampah"
"Wednesday, May 02, 2018","32","Coblong","Korsleting Listrik A"
"Wednesday, May 02, 2018","84","Astanaanyar","Dalam Penyelidikan"
"Thursday, May 03, 2018","282","Lengkong","Kebocoran Tabung"
"Saturday, May 05, 2018","47","Cibeunying Kidul","Dalam Penyelidikan"
"Monday, May 07, 2018","35","Cibeunying Kidul","Kebocoran Tabung"
"Tuesday, May 08, 2018","28","Astanaanyar","Korsleting Listrik"
"Tuesday, May 08, 2018","32","Lengkong","Korsleting Listrik"
"Tuesday, May 08, 2018","42","Bojongloa Kidul","Korsleting Listrik"
"Wednesday, May 09, 2018","35","Bojongloa Kidul","Korsleting Listrik A"
"Sunday, May 13, 2018","30","Astanaanyar","Kebocoran Tabung"
"Monday, May 14, 2018","30","Kiaracondong","Dalam Penyelidikan"
"Thursday, May 17, 2018","30","Bandung Wetan","Dalam Penyelidikan"
"Thursday, May 17, 2018","78","Bojongloa Kaler","Korsleting Listrik"
"Sunday, May 20, 2018","20","Gedebage","Dalam Penyelidikan"
"Wednesday, May 23, 2018","33","Bandung Kulon","Dalam Penyelidikan"
"Sunday, May 27, 2018","43","Cidadap","Korsleting Listrik"
"Monday, May 28, 2018","38"," Panyileukan","Dalam Penyelidikan"
"Thursday, May 31, 2018","35","Bojongloa Kaler","Kebocoran Gas"
"Thursday, May 31, 2018","90","Bandung Kidul","Dalam Penyelidikan"
"Saturday, June 02, 2018","131","Gedebage","Bakaran Sampah"
"Saturday, June 02, 2018","30","Ujungberung","Bakaran Sampah"
"Saturday, June 02, 2018","28","Sukasari","Rokok"
"Sunday, June 03, 2018","90","Batununggal","Bakaran Sampah"
"Monday, June 04, 2018","75","Bojongloa Kaler","Dalam Penyelidikan I"
